location,sqft,bath,price,bhk
ramamurthy nagar,3500.0,5.0,150.0,5
hrbr layout,1625.0,3.0,120.0,3
kaggadasapura,1180.0,1.0,50.0,2
margondanahalli,1090.0,2.0,58.0,2
other,2631.0,3.0,200.0,4
kundalahalli,1120.0,2.0,53.76,2
pai layout,810.0,2.0,34.5,2
raja rajeshwari nagar,1021.0,3.0,59.0,3
thanisandra,933.0,2.0,58.0,1
sarjapur  road,1157.0,2.0,72.0,3
battarahalli,1097.0,2.0,49.0,2
whitefield,905.0,1.0,60.0,1
jalahalli east,1260.0,2.0,60.0,3
kanakpura road,525.0,1.0,26.0,1
sarjapur  road,1750.0,3.0,99.0,3
kengeri satellite town,1200.0,2.0,65.0,2
lakshminarayana pura,1179.0,2.0,75.0,2
sarjapur  road,2100.0,3.0,125.0,3
basavangudi,2453.0,3.0,250.0,4
ramagondanahalli,1910.0,3.0,142.0,3
kumaraswami layout,1200.0,3.0,75.0,3
bisuvanahalli,1075.0,2.0,46.0,3
battarahalli,1200.0,2.0,65.0,2
other,596.0,1.0,42.0,1
poorna pragna layout,1160.0,2.0,46.39,2
other,1200.0,3.0,66.0,3
hennur road,1232.0,2.0,87.0,2
ananth nagar,890.0,2.0,27.0,2
vijayanagar,1200.0,2.0,62.0,2
chikkalasandra,1070.0,2.0,45.48,2
kothanur,1070.0,2.0,45.5,2
1st phase jp nagar,1500.0,5.0,85.0,5
electronic city,1700.0,3.0,75.0,3
koramangala,1300.0,2.0,110.0,2
munnekollal,1200.0,2.0,57.9,3
whitefield,709.0,1.0,34.735,1
electronic city phase ii,1418.0,3.0,52.47,3
hegde nagar,2162.03,4.0,129.0,3
hegde nagar,1000.0,2.0,66.0,2
thanisandra,1948.0,3.0,130.0,3
other,1100.0,2.0,78.0,2
bellandur,3600.0,4.0,245.0,4
other,1285.0,2.0,72.5,2
hoodi,1715.0,2.0,100.0,3
hennur road,1975.0,3.0,123.0,3
ramamurthy nagar,600.0,1.0,43.0,1
other,1217.0,2.0,164.0,2
other,1230.0,2.0,75.0,2
other,600.0,3.0,75.0,2
hoodi,1925.0,2.0,114.0,3
dodda nekkundi,1128.0,2.0,45.0,2
whitefield,3410.0,5.0,253.0,4
other,1012.0,2.0,62.0,2
other,4800.0,5.0,420.0,4
begur road,1583.0,3.0,74.4,3
other,1135.0,2.0,68.0,2
7th phase jp nagar,1100.0,2.0,46.0,2
hormavu,1500.0,2.0,78.0,2
other,3600.0,4.0,450.0,4
varthur road,1247.0,2.0,58.0,3
hebbal,1100.0,2.0,54.0,2
hebbal,1645.0,3.0,117.0,3
chikka tirupathi,2325.0,4.0,120.0,4
kadugodi,1198.0,2.0,58.0,2
kathriguppe,1250.0,2.0,68.75,3
kr puram,1155.0,2.0,42.74,2
other,1060.0,3.0,62.0,3
kalena agrahara,1187.0,2.0,52.0,2
other,4041.0,4.0,345.0,4
electronic city,418.0,1.0,12.0,1
old madras road,1171.0,2.0,75.0,2
frazer town,1420.0,2.0,120.0,2
sarjapur  road,1755.0,3.0,122.0,3
marathahalli,1100.0,2.0,75.0,1
raja rajeshwari nagar,1120.0,2.0,37.97,2
sarjapur  road,702.0,1.0,35.8,1
btm layout,1300.0,2.0,75.0,3
subramanyapura,985.0,2.0,58.0,2
hulimavu,1100.0,2.0,71.5,2
tc palaya,900.0,2.0,55.0,2
jigani,927.0,2.0,55.0,2
jalahalli,2086.0,3.0,160.0,3
other,1200.0,3.0,72.0,3
hennur road,2050.0,3.0,120.0,3
other,560.0,1.0,19.0,1
frazer town,1900.0,4.0,145.0,3
electronic city,1108.0,2.0,67.15,2
electronic city,1070.0,2.0,48.0,2
hormavu,1165.0,2.0,40.0,2
haralur road,1202.0,2.0,53.0,2
ananth nagar,500.0,2.0,14.0,1
bommasandra,1034.0,2.0,40.0,2
vijayanagar,1178.0,2.0,82.0,2
whitefield,2225.0,2.0,125.0,3
old madras road,1720.0,3.0,100.0,3
electronic city phase ii,1065.0,2.0,30.88,2
9th phase jp nagar,1331.95,2.0,69.0,2
sarakki nagar,2500.0,4.0,325.0,3
mysore road,1175.0,2.0,73.5,2
vidyaranyapura,1100.0,2.0,75.0,3
other,720.0,1.0,28.0,1
other,1560.0,3.0,188.0,3
whitefield,1150.0,2.0,70.0,2
bannerghatta road,1154.0,2.0,47.0,2
other,1660.0,2.0,105.0,3
kundalahalli,1010.0,2.0,49.27,2
kasavanhalli,4260.0,4.0,272.0,4
raja rajeshwari nagar,1100.0,2.0,55.0,2
kasavanhalli,1214.0,2.0,67.0,2
other,1575.0,4.0,150.0,5
haralur road,2650.0,4.0,198.0,4
sarjapur,950.0,2.0,35.0,2
kr puram,930.0,2.0,39.0,2
kereguddadahalli,600.0,1.0,19.5,1
yelahanka,2675.0,4.0,140.0,4
ramamurthy nagar,1170.0,2.0,44.0,2
hbr layout,1200.0,4.0,115.0,4
gunjur,1457.0,2.0,60.0,2
other,3500.0,3.0,425.0,4
akshaya nagar,1410.0,2.0,75.0,3
billekahalli,950.0,2.0,58.11,2
jakkur,1660.0,3.0,104.0,3
thigalarapalya,1418.0,2.0,105.0,2
hosakerehalli,2376.0,3.0,240.0,3
kodigehaali,1117.0,2.0,56.0,2
harlur,1370.0,2.0,88.0,2
other,1150.0,2.0,74.0,2
haralur road,1056.0,2.0,60.0,2
vijayanagar,1200.0,2.0,75.0,3
other,1115.0,2.0,115.0,2
kaggalipura,950.0,2.0,45.0,2
anjanapura,1070.0,2.0,39.0,2
haralur road,1245.0,2.0,62.0,2
haralur road,1243.0,2.0,46.0,2
other,1458.0,2.0,87.0,3
somasundara palya,1186.0,2.0,72.0,2
jakkur,3181.0,4.0,260.5,4
whitefield,1585.0,3.0,84.0,3
malleshpalya,1140.0,2.0,46.5,2
kundalahalli,1397.0,3.0,105.0,3
kadugodi,3750.0,4.0,210.0,4
begur,1580.0,3.0,75.0,3
vijayanagar,1749.0,3.0,117.0,3
vidyaranyapura,1100.0,2.0,54.0,2
haralur road,1243.0,2.0,46.0,2
other,1596.0,3.0,105.0,3
other,1220.0,2.0,68.0,2
haralur road,1985.0,3.0,130.0,3
sarjapur  road,2600.0,3.0,200.0,3
banaswadi,1105.0,2.0,57.0,2
kasavanhalli,2110.0,4.0,120.0,3
other,1000.0,2.0,60.0,2
cunningham road,3875.0,3.0,864.0,3
ambalipura,1250.0,2.0,66.25,2
raja rajeshwari nagar,1395.0,2.0,72.0,3
yelahanka,1270.0,2.0,78.0,2
9th phase jp nagar,5000.0,4.0,300.0,4
horamavu banaswadi,1610.0,3.0,68.0,3
kogilu,1934.0,3.0,150.0,3
ramagondanahalli,1151.0,2.0,46.0,2
kogilu,1559.0,3.0,127.0,3
kr puram,714.0,1.0,28.0,1
other,1540.0,3.0,85.0,3
uttarahalli,1265.0,2.0,65.0,3
btm 2nd stage,1850.0,3.0,170.0,3
other,950.0,2.0,57.0,2
7th phase jp nagar,1245.0,2.0,94.0,2
other,3500.0,2.0,350.0,4
bannerghatta road,1255.0,2.0,65.26,2
7th phase jp nagar,1675.0,2.0,135.0,3
hennur road,1703.0,3.0,101.0,3
magadi road,940.0,2.0,50.0,2
old airport road,2774.0,4.0,208.0,4
attibele,2400.0,3.0,120.0,3
bannerghatta road,1550.0,3.0,82.0,3
begur road,1160.0,2.0,42.0,2
varthur,1000.0,1.0,65.0,2
sarjapur  road,1845.0,4.0,110.0,3
kalyan nagar,2422.0,3.0,150.0,4
cunningham road,4170.0,3.0,800.0,3
other,1254.0,2.0,70.0,3
7th phase jp nagar,1450.0,2.0,102.0,3
kr puram,2800.0,6.0,110.0,7
other,10030.0,1.0,150.0,1
singasandra,1653.0,3.0,85.0,3
mysore road,1239.0,2.0,53.0,2
other,2360.0,3.0,185.0,4
subramanyapura,929.0,2.0,56.0,2
whitefield,1118.0,2.0,75.0,2
other,2405.0,4.0,260.0,3
kasavanhalli,1691.0,3.0,104.0,3
neeladri nagar,1053.0,2.0,45.0,2
kereguddadahalli,800.0,2.0,28.0,2
hegde nagar,2112.95,4.0,145.0,3
marathahalli,1700.0,3.0,126.0,3
rajiv nagar,2340.0,4.0,148.0,4
electronic city,1128.0,2.0,65.4,2
devanahalli,658.0,1.0,26.91,1
mallasandra,1665.0,3.0,86.58,3
other,1650.0,3.0,165.0,3
rayasandra,583.0,1.0,26.9,1
6th phase jp nagar,1645.0,3.0,100.0,3
other,2171.66,3.0,298.0,3
jakkur,1473.0,2.0,85.0,2
bhoganhalli,1703.0,3.0,120.0,3
kanakpura road,2265.0,3.0,136.0,3
kasturi nagar,2507.0,4.0,155.0,4
other,1280.0,3.0,87.0,3
kaggadasapura,1485.0,2.0,70.0,3
akshaya nagar,1884.0,3.0,98.0,3
kr puram,750.0,2.0,25.0,2
kanakpura road,700.0,2.0,40.0,2
chikkalasandra,1075.0,2.0,46.76,2
begur road,1160.0,2.0,44.0,2
banashankari stage vi,1392.0,3.0,69.46,3
5th phase jp nagar,1350.0,2.0,75.0,3
ramagondanahalli,1235.0,2.0,49.3,2
malleshpalya,1430.0,2.0,69.5,3
bellandur,921.0,2.0,40.0,2
hennur,1255.0,2.0,52.32,2
sarjapur,2020.0,3.0,85.0,3
kaggadasapura,1280.0,2.0,56.0,3
thanisandra,510.0,1.0,25.25,1
sahakara nagar,1200.0,2.0,75.0,3
kadugodi,1762.0,3.0,112.0,3
btm 2nd stage,1274.0,2.0,70.0,2
whitefield,1740.0,4.0,130.0,3
old madras road,1065.0,2.0,47.86,2
chikka tirupathi,2600.0,5.0,120.0,4
electronic city,770.0,1.0,38.0,2
battarahalli,1135.0,2.0,43.0,2
banashankari,2400.0,1.0,200.0,1
chandapura,975.0,2.0,24.86,2
jakkur,2197.0,3.0,136.0,3
seegehalli,3000.0,4.0,240.0,3
bommasandra,877.0,2.0,30.0,2
hormavu,1150.0,2.0,53.11,2
sector 2 hsr layout,1296.0,2.0,75.0,2
hennur road,1385.0,2.0,83.09,2
haralur road,1875.0,3.0,110.0,3
other,925.0,2.0,100.0,2
btm 2nd stage,930.0,2.0,46.0,2
choodasandra,1140.0,2.0,62.0,2
akshaya nagar,1300.0,2.0,66.0,2
other,2170.0,3.0,265.0,4
other,1950.2,3.0,193.0,3
gottigere,1435.0,2.0,62.0,3
dasarahalli,1220.0,2.0,62.0,2
vidyaranyapura,1062.0,2.0,38.0,2
other,824.0,2.0,60.0,2
badavala nagar,1274.0,2.0,81.0,2
lb shastri nagar,665.0,1.0,32.0,1
kalena agrahara,1902.0,3.0,89.0,3
raja rajeshwari nagar,1090.0,2.0,57.0,2
abbigere,995.0,2.0,40.8,2
sarjapur  road,1028.0,2.0,56.0,2
bannerghatta road,960.0,2.0,58.0,2
aecs layout,1005.0,2.0,55.0,2
rajaji nagar,2533.0,3.0,425.0,3
banashankari stage ii,2800.0,3.0,425.0,5
magadi road,884.0,2.0,41.1,2
bellandur,1200.0,2.0,52.0,2
kanakapura,1419.0,3.0,75.0,3
other,530.0,1.0,20.0,1
kundalahalli,1397.0,3.0,108.0,3
uttarahalli,1160.0,2.0,40.58,2
kundalahalli,1047.0,2.0,82.0,2
begur,1411.0,2.0,60.0,3
8th phase jp nagar,1006.0,2.0,44.0,2
electronic city phase ii,1056.0,2.0,39.07,2
other,1800.0,3.0,150.0,3
kudlu,1152.0,2.0,53.5,2
electronic city phase ii,1150.0,3.0,46.0,3
5th phase jp nagar,1700.0,2.0,100.0,3
harlur,1752.12,3.0,133.0,3
bhoganhalli,1670.0,3.0,99.0,3
parappana agrahara,1194.0,2.0,46.0,2
babusapalaya,1230.0,3.0,53.0,3
harlur,1754.0,3.0,132.0,3
haralur road,1243.0,2.0,46.0,2
mico layout,1670.0,3.0,59.0,3
channasandra,1115.0,2.0,40.0,2
sarakki nagar,2663.0,4.0,338.0,3
nagarbhavi,300.0,1.0,20.0,1
jakkur,1125.0,2.0,65.0,2
other,1827.0,3.0,100.0,3
brookefield,1560.0,3.0,149.0,4
kaval byrasandra,1025.0,2.0,60.0,2
sahakara nagar,1914.0,3.0,149.0,3
bhoganhalli,1949.0,3.0,129.0,3
jalahalli east,775.0,1.0,34.1,1
other,1200.0,2.0,120.0,3
old madras road,1225.0,2.0,53.55,2
old madras road,1165.0,2.0,51.42,2
green glen layout,1750.0,3.0,105.0,3
varthur,1210.0,2.0,60.0,2
other,1180.0,2.0,78.34,3
hennur road,1155.0,2.0,69.18,2
begur,1100.0,2.0,55.0,2
kodichikkanahalli,976.0,2.0,50.0,2
other,1200.0,2.0,100.0,3
koramangala,1710.0,3.0,210.0,3
sarjapura - attibele road,2400.0,3.0,85.0,3
kanakpura road,1300.0,3.0,69.0,3
channasandra,1009.0,2.0,38.34,2
other,3155.0,4.0,370.0,3
ramagondanahalli,2257.0,3.0,155.0,3
uttarahalli,1150.0,2.0,49.0,2
kadugodi,1314.0,2.0,68.2,2
kengeri,726.0,2.0,31.0,2
other,1150.0,2.0,90.0,2
raja rajeshwari nagar,1278.0,2.0,53.76,3
kasavanhalli,1717.0,3.0,99.0,3
bannerghatta road,1237.5,2.0,49.49,2
sahakara nagar,1100.0,2.0,75.0,3
other,2400.0,2.0,135.0,2
yelahanka,1556.0,3.0,86.0,3
begur road,1200.0,3.0,50.0,3
electronic city,1152.0,2.0,64.5,2
electronics city phase 1,940.0,2.0,44.0,2
whitefield,825.0,1.0,44.9,1
other,3095.0,3.0,350.0,3
other,1200.0,2.0,74.0,2
budigere,1636.0,3.0,85.0,3
other,998.0,2.0,65.0,2
yelahanka,1465.0,3.0,80.01,3
bommanahalli,1090.0,3.0,44.0,2
whitefield,1562.0,3.0,103.0,3
5th block hbr layout,1100.0,2.0,48.0,2
attibele,550.0,1.0,11.5,1
banashankari,1300.0,2.0,75.0,3
uttarahalli,1200.0,2.0,55.0,2
lingadheeranahalli,1683.0,3.0,110.0,3
other,1630.0,2.0,200.0,2
other,1100.0,2.0,62.7,2
other,1365.0,3.0,99.0,3
old airport road,2658.0,5.0,187.0,4
kasavanhalli,1100.0,2.0,65.0,2
indira nagar,1200.0,2.0,93.0,2
other,1012.0,2.0,59.0,2
sompura,1360.0,2.0,45.0,3
kanakpura road,1495.0,2.0,90.0,2
cv raman nagar,1100.0,2.0,58.0,2
kundalahalli,1065.0,2.0,70.0,2
kammasandra,912.0,2.0,39.0,3
other,1230.0,2.0,68.0,2
hennur,1830.0,2.0,113.0,3
vijayanagar,2047.0,3.0,136.0,3
other,1936.0,3.0,110.0,3
kanakapura,945.0,2.0,47.0,2
other,1313.0,4.0,150.0,3
electronic city phase ii,1000.0,2.0,28.88,2
rajaji nagar,2367.0,3.0,375.0,3
other,1750.0,3.0,149.0,3
frazer town,3100.0,3.0,400.0,3
banashankari,1181.0,2.0,75.0,2
other,1350.0,3.0,81.0,3
tumkur road,1416.0,3.0,94.0,3
yelahanka,1560.0,2.0,98.0,3
kanakpura road,525.0,1.0,30.0,1
banashankari stage v,920.0,2.0,41.5,2
kaggadasapura,1540.0,3.0,75.0,3
karuna nagar,2500.0,3.0,180.0,3
anekal,656.0,2.0,22.0,2
electronic city,1353.0,2.0,75.0,2
electronics city phase 1,940.0,2.0,48.0,2
kothanur,1760.0,3.0,111.0,3
hosur road,1689.0,3.0,103.0,3
ramagondanahalli,845.0,2.0,45.82,2
kundalahalli,1724.0,3.0,125.0,3
bannerghatta road,1893.0,3.0,100.0,3
kambipura,883.0,2.0,39.0,2
jp nagar,1300.0,2.0,90.87,2
r.t. nagar,970.0,2.0,55.0,2
vijayanagar,1520.0,2.0,103.0,3
banaswadi,1222.0,2.0,80.0,2
other,1450.0,2.0,85.0,3
raja rajeshwari nagar,1090.0,2.0,57.0,2
dommasandra,1153.0,2.0,43.5,2
1st phase jp nagar,1205.0,2.0,85.0,2
kasavanhalli,1585.0,2.0,90.0,2
kr puram,1200.0,2.0,71.0,2
doddaballapur,2400.0,3.0,200.0,4
dasanapura,708.0,1.0,41.0,1
balagere,1210.0,2.0,83.0,2
other,1100.0,3.0,78.0,3
yeshwanthpur,1825.0,3.0,145.0,3
aecs layout,1123.0,2.0,64.0,2
other,2000.0,3.0,166.0,4
sarjapur  road,1700.0,3.0,135.0,3
tc palaya,1100.0,2.0,65.0,2
other,3515.0,3.0,420.0,3
kadubeesanahalli,1665.0,3.0,70.0,3
thanisandra,1296.0,2.0,83.0,2
other,1300.0,2.0,95.0,2
chamrajpet,730.0,1.0,52.0,2
amruthahalli,1250.0,2.0,79.0,2
electronic city,870.0,2.0,39.5,2
uttarahalli,1160.0,2.0,45.0,2
other,1170.0,2.0,105.0,2
bannerghatta road,1100.0,2.0,39.0,2
hrbr layout,1145.0,2.0,68.5,2
sahakara nagar,1000.0,2.0,60.0,2
sarjapur,1240.0,2.0,44.0,2
akshaya nagar,1360.0,2.0,85.0,3
hormavu,1175.0,2.0,52.0,2
hebbal,1645.0,3.0,117.0,3
hennur road,1232.0,2.0,69.61,2
choodasandra,1530.0,3.0,77.0,3
other,834.0,1.0,62.0,1
hormavu,1200.0,3.0,70.0,2
raja rajeshwari nagar,1610.0,3.0,74.0,3
electronic city,995.0,2.0,48.0,2
ramamurthy nagar,3700.0,4.0,225.0,4
whitefield,825.0,1.0,45.0,1
kanakapura,711.0,1.0,36.0,1
prithvi layout,1352.0,2.0,75.0,2
beml layout,1200.0,2.0,67.0,2
kaikondrahalli,1342.0,3.0,92.0,3
mico layout,1250.0,2.0,44.0,3
panathur,1198.0,2.0,82.0,2
whitefield,2990.0,3.0,198.0,4
other,1293.0,2.0,80.0,2
kasavanhalli,1349.0,2.0,78.0,2
kaggadasapura,1060.0,2.0,48.0,2
kanakpura road,700.0,2.0,40.0,2
kanakpura road,1665.0,3.0,86.58,3
abbigere,985.0,2.0,40.39,2
thanisandra,580.0,1.0,27.5,1
neeladri nagar,2111.0,3.0,103.0,3
akshaya nagar,1662.0,3.0,85.0,3
balagere,1007.0,2.0,68.0,2
other,1205.0,2.0,70.0,2
anekal,766.0,2.0,28.0,2
kodihalli,2408.0,4.0,260.0,3
akshaya nagar,1412.0,2.0,88.0,3
other,1200.0,3.0,90.0,3
whitefield,4104.0,4.0,360.0,4
thanisandra,662.0,1.0,42.0,1
other,1044.0,2.0,85.0,2
other,1721.0,3.0,93.0,3
horamavu agara,625.0,1.0,27.0,1
green glen layout,1717.0,3.0,125.0,3
whitefield,1216.0,2.0,73.0,2
electronic city phase ii,1549.0,3.0,80.0,3
ulsoor,1340.0,3.0,90.0,3
devanahalli,698.5,1.0,28.57,1
akshaya nagar,1314.0,2.0,68.8,2
bannerghatta road,2700.0,4.0,260.0,4
hosur road,1250.0,2.0,65.0,2
devanahalli,1466.0,3.0,77.59,3
other,1485.0,2.0,156.0,3
other,680.0,2.0,42.0,2
shivaji nagar,850.0,2.0,55.0,2
uttarahalli,1215.0,2.0,52.85,3
yeshwanthpur,1855.0,3.0,140.0,3
raja rajeshwari nagar,1693.0,3.0,71.38,3
9th phase jp nagar,1480.0,2.0,80.0,2
other,1200.0,2.0,140.0,4
hebbal,1700.0,3.0,124.0,3
begur,1443.0,2.0,70.0,3
billekahalli,1805.0,3.0,134.0,3
ardendale,2422.0,4.0,160.0,4
garudachar palya,1060.0,2.0,48.7,2
banashankari stage ii,1200.0,2.0,150.0,4
other,1000.0,2.0,65.0,3
hoodi,1132.0,2.0,67.9,2
epip zone,2330.0,3.0,162.0,3
rachenahalli,1113.0,2.0,55.0,2
banashankari stage ii,1400.0,2.0,100.0,2
bisuvanahalli,1075.0,2.0,43.0,3
brookefield,1089.0,2.0,49.0,2
other,936.0,1.0,53.0,1
sarjapur  road,702.0,1.0,52.0,1
brookefield,1950.0,6.0,175.0,5
kaggadasapura,1400.0,2.0,68.0,3
seegehalli,1830.0,4.0,82.0,3
other,2648.0,3.0,238.0,3
sarjapur,913.0,2.0,36.0,2
yelahanka,1825.0,3.0,105.0,3
sarjapur  road,1846.0,3.0,145.0,3
kadugodi,1314.0,2.0,83.0,2
electronic city phase ii,1790.0,3.0,100.0,3
sultan palaya,1713.0,3.0,125.0,3
kaval byrasandra,1020.0,2.0,52.0,2
old airport road,2690.0,4.0,199.0,4
jp nagar,1048.0,2.0,44.0,2
varthur,965.0,2.0,34.0,2
other,1600.0,3.0,100.0,3
varthur,1035.0,2.0,60.0,2
tc palaya,1000.0,2.0,70.0,2
vittasandra,1238.0,2.0,67.0,2
frazer town,2079.0,3.0,220.0,3
marathahalli,1100.0,2.0,50.0,2
garudachar palya,1295.0,2.0,59.5,3
other,800.0,2.0,85.0,2
hoodi,1447.0,3.0,76.0,2
gottigere,1618.0,3.0,82.5,3
other,400.0,1.0,35.0,1
gottigere,1170.0,2.0,40.0,2
other,686.0,1.0,17.0,1
attibele,400.0,1.0,10.0,1
sanjay nagar,960.0,2.0,55.0,2
jalahalli,1000.0,2.0,70.0,2
hulimavu,1255.0,2.0,69.0,2
cv raman nagar,1400.0,2.0,78.0,3
sarjapur  road,1200.0,3.0,70.0,3
kanakpura road,1600.0,3.0,90.0,3
jalahalli,1932.0,4.0,135.0,3
banashankari stage iii,1085.0,2.0,50.0,2
5th phase jp nagar,552.0,1.0,23.5,1
harlur,1762.0,3.0,133.0,3
hormavu,1130.0,2.0,42.3,2
other,1600.0,3.0,130.0,3
bellandur,1205.0,2.0,59.0,2
